Name,Stage,Address,Zip,City,State,Latitude,Longitude
Rock Solid Warrior,Cleaning,6109 NC-55 #125,27526,Fuquay-Varina,NC,35.59271,-78.75662
The Climb (Bentonville),Cleaning,16730 House & Hahl Rd,77433,Cypress,TX,29.727252,-95.619607
The Spot Bouldering Gym (Denver),Cleaning,1235 Delaware St,80204,Denver,CO,39.735811,-104.99309
The Spot Bouldering Gym (Golden),Cleaning,1391 Brickyard Rd,80403,Golden,CO,39.7784,-105.235168
The Spot Climbing Gym (Louisville),Cleaning,1754 Dogwood St,80027,Louisville,CO,39.965784,-105.116939
Rock Spot (Peace Dale),Umbrella Gyms - Extra boxes,1174 Kingstown Road,02879,Peace Dale,RI,41.451027,-71.497523
Ubergrippen Indoor Climbing Crag (Denver),Umbrella Gyms - Extra boxes,3690 Bilberry St,80109,Castle Rock,CO,39.401214,-104.887405
Adventure Rock WKP,Umbrella Gyms - Extra boxes,613 S 2nd St,53204,Milwaukee,WI,43.024905,-87.913034
The Front Climbing Club (South Main) See salt talk,Umbrella Gyms - Extra boxes,4140 S Main St,84107,Millcreek,UT,40.681833,-111.891467
Alta Climbing and Fitness (Gilbert) KEYSTONE,Umbrella Gyms - Extra boxes,3193 S Ranch House Ct,85297,Gilbert,AZ,33.289782,-111.692768
Boulders Climbing Gym (East),Umbrella Gyms - Extra boxes,3964 Commercial Ave,53714,Madison,WI,43.108568,-89.317773
Vertical Dreams - Nashua,Umbrella Gyms - Extra boxes,25 E Otterson St,03060,Nashua,NH,42.754442,-71.459802
Planet Rock Climbing Gym,Umbrella Gyms - Extra boxes,1103 W 13 Mile Rd,48071,Madison Heights,MI,42.519126,-83.117029
MetroRock (Newburyport),Umbrella Gyms - Extra boxes,40 Parker St,01950,Newburyport,MA,42.801489,-70.880145
Inner Peaks (South End) KEYSTONE,Umbrella Gyms - Extra boxes,2220 South Tryon Street,28203,Charlotte,NC,35.209409,-80.867771
Climbmax Climbing (the River),Umbrella Gyms - Extra boxes,173 Amboy Rd,28806,Asheville,NC,35.567607,-82.569544
Rock Spot (South Boston),Umbrella Gyms - Extra boxes,30 Old Colony Ave,02127,Boston,MA,42.33745,-71.056663
Ciba Climbing,Initial Inquiry,4066 E Monsanto Dr,85650,Sierra Vista,AZ,31.49907,-110.255903
Treadstone Columbus,Initial Inquiry,4209 Milgen Rd,31907,Columbus,GA,32.512073,-84.925669
Vertical Ventures,Initial Inquiry,116 18th St S,33712,St. Petersburg,FL,27.769538,-82.657475
Climbmax Climbing (Downtown),Initial Inquiry,43 Wall St,28801,Asheville,NC,35.594739,-82.555992
Stone Age Rock Gym,Initial Inquiry,195 Adams St,06042,Manchester,CT,41.789403,-72.550108
The Edge Rock Gym (Melbourne),Initial Inquiry,200 West Dr,32904,Melbourne,FL,28.105344,-80.691563
Progression Climbing,Initial Inquiry,1713 Legion Rd,27517,Chapel Hill,NC,35.937331,-79.019675
Onsight Rock Gym,Initial Inquiry,5335 Western Ave,37921,Knoxvill,TN,35.976124,-84.008445
Rogue Rock Gym,Sample Sent,3001 Samike Dr,97501,Medford,OR,42.295608,-122.840724
